Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	0	-6301.693	-6322.614	20.92131	31.50668	7.88739
1	1	-6371.332	-6382.369	11.03702	23.31816	8.324656
2	0	-6286.307	-6315.544	29.23632	28.17293	7.679879
3	1	-6357.759	-6374.746	16.98698	24.68117	8.11688
4	0	-6305.911	-6316.088	10.17644	24.0942	8.383379
5	1	-6349.391	-6371.912	22.52137	32.01614	7.818444
6	0	-6295.108	-6311.921	16.81223	25.90198	8.139831
7	1	-6352.815	-6360.448	7.632557	24.72142	8.496167
8	0	-6280.269	-6310.693	30.424	28.06759	7.637909
9	1	-6319.86	-6353.086	33.2266	28.49418	7.538144
10	0	-6297.915	-6320.47	22.55514	31.37398	7.840059
11	1	-6333.656	-6363.783	30.12771	27.5632	7.648006
12	0	-6285.617	-6302.953	17.33569	23.47534	8.061941
13	1	-6312.724	-6343.713	30.98829	27.46539	7.616276
14	0	-6298.655	-6311.587	12.93191	25.0749	8.286233
15	1	-6312.167	-6345.264	33.09635	27.39268	7.538873
16	0	-6272.665	-6306.625	33.95952	30.31735	7.496636
17	1	-6314.737	-6347.966	33.22845	28.35526	7.538244
18	0	-6270.938	-6307.247	36.30957	27.29684	7.420211
19	1	-6324.822	-6355.393	30.57129	29.54096	7.621291
20	0	-6280.48	-6308.143	27.66351	23.98416	7.651853
21	1	-6334.099	-6358.81	24.71181	25.17173	7.819139
22	0	-6298.164	-6315.813	17.64897	25.09197	8.098409
23	1	-6316.336	-6329.111	12.77449	24.07091	8.274952
24	0	-6302.778	-6316.455	13.67736	29.94434	8.179299
25	1	-6314.28	-6330.212	15.93178	28.18548	8.151866
26	0	-6283.313	-6308.031	24.71764	31.13488	7.778536
27	1	-6312.615	-6323.36	10.74488	26.32585	8.371054
28	0	-6288.19	-6310.653	22.46227	25.59574	7.917109
29	1	-6310.101	-6327.982	17.88124	32.10744	7.959585
30	0	-6299.183	-6319.284	20.1005	26.85127	8.016091
31	1	-6305.087	-6323.319	18.23222	26.15975	8.086272
32	0	-6304.165	-6314.142	9.976972	25.24887	8.404764
33	1	-6321.074	-6338.327	17.25292	28.71191	8.093869
34	0	-6303.983	-6321.177	17.19381	26.58884	8.125608
35	1	-6324.165	-6339.034	14.86869	28.01608	8.193188
36	0	-6291.587	-6316.691	25.10392	26.44708	7.826875
37	1	-6335.06	-6354.651	19.59063	26.99588	8.034539
38	0	-6309.962	-6326.94	16.97789	25.06252	8.124674
39	1	-6323.509	-6334.661	11.15243	23.75609	8.334178
40	0	-6280.353	-6306.939	26.58595	30.69251	7.730552
41	1	-6304.622	-6319.94	15.31772	26.39369	8.197123
42	0	-6286.999	-6316.982	29.98326	27.12734	7.650746
43	1	-6287.147	-6323.089	35.94167	28.92772	7.442635
44	0	-6307.501	-6318.842	11.34047	29.10422	8.287338
45	1	-6300.278	-6329.235	28.95642	25.37849	7.657146
46	0	-6324.182	-6337.999	13.81691	24.24274	8.236141
47	1	-6307.741	-6331.318	23.57687	25.63095	7.874217
48	0	-6284.913	-6310.198	25.28514	27.42991	7.823983
49	1	-6298.416	-6340.726	42.3099	27.54678	7.20571
50	0	-6271.036	-6299.462	28.42551	26.57144	7.702966
51	1	-6291.36	-6329.261	37.90173	27.82969	7.36923
52	0	-6296.185	-6314.955	18.76946	23.21867	7.987827
53	1	-6318.816	-6340.27	21.45381	26.26233	7.963872
54	0	-6301.587	-6323.123	21.53639	27.07573	7.96228
55	1	-6292.225	-6313.388	21.16339	26.75036	7.976526
56	0	-6291.555	-6321.405	29.84976	27.58938	7.658169
57	1	-6317.204	-6337.29	20.08636	24.89026	7.996717
58	0	-6282.907	-6304.43	21.52241	29.55216	7.927337
59	1	-6314.49	-6325.937	11.44732	25.4846	8.347333
60	0	-6279.991	-6307.936	27.94497	29.52359	7.710487
61	1	-6304.161	-6320.581	16.42012	30.47528	8.069616
62	0	-6324.209	-6334.448	10.23911	27.13313	8.37847
63	1	-6297.359	-6321.099	23.73924	26.17693	7.875949
64	0	-6289.143	-6317.752	28.60881	30.47508	7.669667
65	1	-6298.134	-6331.827	33.69299	27.96245	7.52108
66	0	-6276.4	-6307.284	30.88421	31.5814	7.569214
67	1	-6295.665	-6330.97	35.30538	28.32254	7.464924
68	0	-6297.37	-6319.461	22.09149	25.6287	7.932134
69	1	-6286.702	-6315.768	29.06595	30.274	7.658948
70	0	-6286.251	-6312.044	25.79268	26.72111	7.803265
71	1	-6299.474	-6322.108	22.63416	25.45794	7.907856
72	0	-6305.533	-6332.311	26.7776	27.5057	7.769582
73	1	-6306.26	-6324.612	18.35234	29.08162	8.046974
74	0	-6317.933	-6330.632	12.69854	32.48025	8.103333
75	1	-6320.222	-6342.177	21.95485	27.52215	7.944808
76	0	-6297.856	-6325.683	27.82626	24.17501	7.654934
77	1	-6317.866	-6329.506	11.64011	28.38359	8.298817
78	0	-6314.186	-6329.976	15.78915	24.57072	8.16304
79	1	-6320.604	-6339.548	18.94392	25.12229	8.047375
80	0	-6287.368	-6317.282	29.91358	31.01799	7.614532
81	1	-6310.159	-6338.243	28.0838	25.73445	7.700907
82	0	-6290.406	-6317.313	26.90696	25.54789	7.742297
83	1	-6303.491	-6325.869	22.37817	25.28756	7.914452
84	0	-6285.279	-6307.939	22.6599	30.30633	7.869654
85	1	-6315.247	-6336.809	21.56225	24.04292	7.908717
86	0	-6305.66	-6321.724	16.06393	25.14277	8.1623
87	1	-6329.159	-6339.881	10.72231	22.30036	8.289554
88	0	-6296.397	-6319.644	23.24645	30.2308	7.852337
89	1	-6321.629	-6336.793	15.1643	27.68496	8.188846
90	0	-6290.384	-6310.696	20.31158	24.91687	7.988316
91	1	-6287.782	-6323.442	35.6594	29.28394	7.450835
92	0	-6280.986	-6309.266	28.28017	24.4293	7.648394
