Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	-6301.693	-6322.614	20.92131	31.50668	7.88739
10	-6286.307	-6315.544	29.23632	28.17293	7.679879
20	-6305.911	-6316.088	10.17644	24.0942	8.383379
30	-6295.108	-6311.921	16.81223	25.90198	8.139831
40	-6280.269	-6310.693	30.424	28.06759	7.637909
50	-6297.915	-6320.47	22.55514	31.37398	7.840059
60	-6285.617	-6302.953	17.33569	23.47534	8.061941
70	-6298.655	-6311.587	12.93191	25.0749	8.286233
80	-6272.665	-6306.625	33.95952	30.31735	7.496636
90	-6270.938	-6307.247	36.30957	27.29684	7.420211
100	-6280.48	-6308.143	27.66351	23.98416	7.651853
110	-6298.164	-6315.813	17.64897	25.09197	8.098409
120	-6302.778	-6316.455	13.67736	29.94434	8.179299
130	-6283.313	-6308.031	24.71764	31.13488	7.778536
140	-6288.19	-6310.653	22.46227	25.59574	7.917109
150	-6299.183	-6319.284	20.1005	26.85127	8.016091
160	-6304.165	-6314.142	9.976972	25.24887	8.404764
170	-6303.983	-6321.177	17.19381	26.58884	8.125608
180	-6291.587	-6316.691	25.10392	26.44708	7.826875
190	-6309.962	-6326.94	16.97789	25.06252	8.124674
200	-6280.353	-6306.939	26.58595	30.69251	7.730552
210	-6286.999	-6316.982	29.98326	27.12734	7.650746
220	-6307.501	-6318.842	11.34047	29.10422	8.287338
230	-6324.182	-6337.999	13.81691	24.24274	8.236141
240	-6284.913	-6310.198	25.28514	27.42991	7.823983
250	-6271.036	-6299.462	28.42551	26.57144	7.702966
260	-6296.185	-6314.955	18.76946	23.21867	7.987827
270	-6301.587	-6323.123	21.53639	27.07573	7.96228
280	-6291.555	-6321.405	29.84976	27.58938	7.658169
290	-6282.907	-6304.43	21.52241	29.55216	7.927337
300	-6279.991	-6307.936	27.94497	29.52359	7.710487
310	-6324.209	-6334.448	10.23911	27.13313	8.37847
320	-6289.143	-6317.752	28.60881	30.47508	7.669667
330	-6276.4	-6307.284	30.88421	31.5814	7.569214
340	-6297.37	-6319.461	22.09149	25.6287	7.932134
350	-6286.251	-6312.044	25.79268	26.72111	7.803265
360	-6305.533	-6332.311	26.7776	27.5057	7.769582
370	-6317.933	-6330.632	12.69854	32.48025	8.103333
380	-6297.856	-6325.683	27.82626	24.17501	7.654934
390	-6314.186	-6329.976	15.78915	24.57072	8.16304
400	-6287.368	-6317.282	29.91358	31.01799	7.614532
410	-6290.406	-6317.313	26.90696	25.54789	7.742297
420	-6285.279	-6307.939	22.6599	30.30633	7.869654
430	-6305.66	-6321.724	16.06393	25.14277	8.1623
440	-6296.397	-6319.644	23.24645	30.2308	7.852337
450	-6290.384	-6310.696	20.31158	24.91687	7.988316
460	-6280.986	-6309.266	28.28017	24.4293	7.648394
470	-6302.35	-6328.315	25.96536	28.12054	7.796383
480	-6281.479	-6294.712	13.23262	23.3943	8.233577
490	-6287.934	-6314.757	26.82317	28.48024	7.763007
500	-6290.46	-6316.627	26.16735	30.77116	7.7421
510	-6286.106	-6304.461	18.35544	25.10671	8.070521
520	-6304.405	-6319.02	14.61502	24.19651	8.201998
530	-6295.787	-6325.788	30.00132	29.72516	7.637796
540	-6290.308	-6314.317	24.00905	25.61266	7.857006
550	-6316.605	-6333.645	17.04016	22.85442	8.042471
560	-6285.472	-6311.436	25.96374	23.35878	7.68713
570	-6292.879	-6319.631	26.75229	25.82681	7.754586
580	-6288.029	-6317.202	29.17356	25.84025	7.661157
590	-6299.107	-6322.293	23.1856	25.09516	7.877838
600	-6308.648	-6338.94	30.29162	28.00369	7.642696
610	-6319.225	-6334.174	14.94943	27.42122	8.200919
620	-6297.849	-6319.245	21.39547	29.0413	7.943175
630	-6303.479	-6324.739	21.25992	29.1485	7.94556
