Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	0	-6208.036	-6230.201	22.16513	1.626415	27.58354	0.244207	0.60833	1.05706	2.09041	7.519363
1	1	-6160.668	-6195.157	34.48893	1.223513	32.8366	0.179288	0.534976	1.02902	2.25672	7.071783
2	0	-6219.06	-6224.676	5.615925	1.632144	24.91404	0.245033	0.60917	1.05732	2.08847	8.115996
3	1	-6191.505	-6220.998	29.49313	1.438921	28.54681	0.215731	0.578064	1.04662	2.15958	7.265519
4	0	-6207.869	-6218.203	10.3334	1.288274	28.37415	0.190687	0.54905	1.03512	2.22514	7.939376
5	1	-6181.05	-6205.266	24.21573	1.669497	26.40387	0.250359	0.614536	1.059	2.07611	7.424055
6	0	-6193.27	-6217.613	24.34261	1.306563	29.02193	0.193836	0.552837	1.03671	2.21662	7.445329
7	1	-6182.392	-6202.032	19.63988	1.831895	29.8233	0.272347	0.635858	1.06515	2.02664	7.597598
8	0	-6191.958	-6210.762	18.80468	1.564297	30.31986	0.235086	0.59892	1.05398	2.11201	7.616713
9	1	-6197.99	-6204.315	6.324443	1.934222	28.50864	0.285294	0.647832	1.06825	1.99862	8.077926
10	0	-6197.84	-6210.566	12.72524	0.9515011	30.31986	0.127178	0.461673	0.991475	2.41967	7.817223
11	1	-6177.859	-6199.466	21.60682	1.296425	24.69495	0.192094	0.550747	1.03584	2.22132	7.463907
12	0	-6191.186	-6199.887	8.701485	1.629108	26.56985	0.244596	0.608725	1.05718	2.0895	8.011984
13	1	-6198.531	-6209.083	10.55198	1.686729	27.07389	0.252781	0.616949	1.05974	2.07053	7.942764
14	0	-6183.801	-6206.476	22.67489	1.276448	27.10002	0.188634	0.546558	1.03407	2.23074	7.495368
15	1	-6201.375	-6208.55	7.174608	1.774528	25.16686	0.26479	0.628675	1.06317	2.04337	8.058381
16	0	-6186.797	-6212.36	25.56328	1.731355	30.03747	0.258953	0.623025	1.06154	2.05648	7.396971
17	1	-6193.395	-6198.82	5.425822	1.383829	26.42881	0.206806	0.568004	1.0428	2.18239	8.135647
18	0	-6191.275	-6212.05	20.77563	1.608219	25.70584	0.241566	0.605632	1.05619	2.09661	7.536652
19	1	-6161.701	-6184.432	22.73063	1.187505	27.24458	0.172781	0.526669	1.02525	2.2753	7.495256
20	0	-6191.031	-6219.502	28.4708	1.360415	27.40165	0.202932	0.563544	1.04105	2.19247	7.287607
21	1	-6159.053	-6172.085	13.03212	1.312318	25.08827	0.19482	0.554012	1.03719	2.21397	7.823473
22	0	-6192.131	-6213.281	21.15016	1.213257	30.40429	0.177447	0.532646	1.02797	2.26194	7.537893
23	1	-6184.988	-6199.357	14.36897	1.710663	26.86397	0.256109	0.620239	1.06072	2.06293	7.800852
24	0	-6192.097	-6204.82	12.72254	1.71067	31.88719	0.25611	0.620239	1.06072	2.06293	7.769397
25	1	-6155.252	-6168.869	13.61726	1.773264	31.04431	0.26462	0.628512	1.06312	2.04374	7.767973
26	0	-6183.239	-6218.501	35.26198	1.781013	29.71436	0.265655	0.629505	1.0634	2.04144	7.073472
27	1	-6172.981	-6182.066	9.084782	1.824491	26.85757	0.271384	0.634951	1.06491	2.02876	7.997564
28	0	-6164.791	-6202.075	37.28317	0.9889814	33.88139	0.13475	0.473415	0.99815	2.39369	6.967532
29	1	-6167.255	-6181.913	14.65856	1.578846	30.39147	0.237249	0.601175	1.05473	2.10684	7.751718
30	0	-6179.204	-6218.591	39.38648	1.423887	28.46725	0.213322	0.575377	1.04562	2.16568	6.917379
31	1	-6177.316	-6195.36	18.04437	1.687029	26.70966	0.252823	0.616991	1.05975	2.07044	7.662236
32	0	-6181.537	-6204.593	23.05592	1.567637	29.71437	0.235584	0.599441	1.05416	2.11082	7.484252
33	1	-6172.03	-6199.947	27.91774	1.374173	26.70966	0.205214	0.566178	1.04209	2.18652	7.292581
34	0	-6190.872	-6190.102	-0.7692724	1.412211	23.27541	0.211437	0.57326	1.04482	2.17048	8.335652
35	1	-6171.513	-6192.091	20.57828	1.38188	27.93191	0.206485	0.567637	1.04266	2.18322	7.5783
36	0	-6193.245	-6196.323	3.078207	1.657024	24.3395	0.248592	0.612765	1.05845	2.08019	8.206635
37	1	-6168.158	-6198.36	30.20165	1.229625	31.77976	0.180381	0.53635	1.02963	2.25364	7.223074
38	0	-6165.112	-6184.323	19.21022	1.348819	26.65375	0.200995	0.561292	1.04016	2.19756	7.61777
39	1	-6162.254	-6205.73	43.47567	1.190961	35.25627	0.173411	0.527482	1.02562	2.27349	6.759463
40	0	-6181.873	-6204.181	22.30725	1.310196	29.00482	0.194458	0.553579	1.03702	2.21495	7.51556
41	1	-6148.993	-6196.771	47.77803	0.9591119	30.49365	0.128725	0.464107	0.99288	2.41429	6.663068
42	0	-6161.331	-6188.91	27.57875	1.833835	31.17207	0.272599	0.636095	1.06522	2.02609	7.316285
43	1	-6123.857	-6183.344	59.48694	0.9532995	34.20477	0.127544	0.46225	0.991809	2.4184	6.311446
44	0	-6187.595	-6212.333	24.73809	1.621758	28.1469	0.243534	0.607644	1.05684	2.09198	7.430757
45	1	-6148.779	-6201.671	52.8916	1.11294	32.73701	0.158922	0.508252	1.01645	2.31637	6.511448
46	0	-6179.085	-6212.811	33.7265	2.128453	30.77522	0.308141	0.668013	1.07289	1.95095	7.122269
47	1	-6164.346	-6217.576	53.23061	1.125788	30.55202	0.161347	0.511549	1.01807	2.30903	6.485195
48	0	-6160.503	-6192.165	31.66138	1.142117	31.41876	0.164407	0.515664	1.02007	2.29986	7.182272
49	1	-6148.62	-6207.986	59.36657	0.907333	34.64992	0.118114	0.44701	0.982772	2.4521	6.312991
50	0	-6180.866	-6207.505	26.63868	1.200754	31.11644	0.17519	0.529768	1.02667	2.26838	7.347363
51	1	-6158.518	-6211.258	52.74061	0.8971979	36.88486	0.116013	0.443511	0.980633	2.45984	6.469114
52	0	-6169.623	-6189.866	20.24282	1.515656	27.41201	0.227731	0.591142	1.05133	2.1298	7.587957
53	1	-6136.818	-6192.492	55.67418	1.129874	35.36861	0.162115	0.512587	1.01858	2.30672	6.41216
54	0	-6168.273	-6201.58	33.30653	1.631121	30.17153	0.244886	0.60902	1.05728	2.08882	7.138898
55	1	-6136.606	-6188.201	51.59447	1.103662	33.18918	0.157161	0.505837	1.01526	2.32175	6.549611
56	0	-6177.519	-6195.615	18.09565	1.379904	29.1111	0.20616	0.567264	1.04251	2.18406	7.65958
57	1	-6136.189	-6204.06	67.87115	0.8899245	31.90768	0.114502	0.440968	0.979064	2.46547	6.040309
58	0	-6190.024	-6213.892	23.86758	1.101199	28.07007	0.156692	0.505191	1.01493	2.32318	7.461329
59	1	-6134.531	-6187.797	53.26533	1.100472	32.74996	0.156554	0.504999	1.01484	2.32361	6.500027
60	0	-6159.037	-6180.518	21.48096	1.204272	30.66264	0.175826	0.530582	1.02704	2.26655	7.522341
61	1	-6143.132	-6201.763	58.63133	1.109669	32.18436	0.158302	0.507403	1.01604	2.31826	6.332503
62	0	-6173.555	-6202.366	28.81137	1.934499	28.77515	0.285328	0.647863	1.06826	1.99855	7.290605
63	1	-6149.228	-6199.458	50.22949	0.8674083	34.1273	0.109801	0.432921	0.974015	2.48326	6.582939
64	0	-6175.753	-6200.842	25.08936	1.424647	28.63363	0.213444	0.575514	1.04567	2.16537	7.419906
65	1	-6148.563	-6185.757	37.19383	1.111902	31.65194	0.158725	0.507983	1.01632	2.31697	7.004258
66	0	-6201.187	-6219.156	17.9685	1.692836	27.01589	0.253634	0.617796	1.05999	2.06858	7.668336
