Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-6160.668	-6195.157	34.48893	1.223513	32.8366	0.179288	0.534976	1.02902	2.25672	7.071783
10	-6191.505	-6220.998	29.49313	1.438921	28.54681	0.215731	0.578064	1.04662	2.15958	7.265519
20	-6181.05	-6205.266	24.21573	1.669497	26.40387	0.250359	0.614536	1.059	2.07611	7.424055
30	-6182.392	-6202.032	19.63988	1.831895	29.8233	0.272347	0.635858	1.06515	2.02664	7.597598
40	-6197.99	-6204.315	6.324443	1.934222	28.50864	0.285294	0.647832	1.06825	1.99862	8.077926
50	-6177.859	-6199.466	21.60682	1.296425	24.69495	0.192094	0.550747	1.03584	2.22132	7.463907
60	-6198.531	-6209.083	10.55198	1.686729	27.07389	0.252781	0.616949	1.05974	2.07053	7.942764
70	-6201.375	-6208.55	7.174608	1.774528	25.16686	0.26479	0.628675	1.06317	2.04337	8.058381
80	-6193.395	-6198.82	5.425822	1.383829	26.42881	0.206806	0.568004	1.0428	2.18239	8.135647
90	-6161.701	-6184.432	22.73063	1.187505	27.24458	0.172781	0.526669	1.02525	2.2753	7.495256
100	-6159.053	-6172.085	13.03212	1.312318	25.08827	0.19482	0.554012	1.03719	2.21397	7.823473
110	-6184.988	-6199.357	14.36897	1.710663	26.86397	0.256109	0.620239	1.06072	2.06293	7.800852
120	-6155.252	-6168.869	13.61726	1.773264	31.04431	0.26462	0.628512	1.06312	2.04374	7.767973
130	-6172.981	-6182.066	9.084782	1.824491	26.85757	0.271384	0.634951	1.06491	2.02876	7.997564
140	-6167.255	-6181.913	14.65856	1.578846	30.39147	0.237249	0.601175	1.05473	2.10684	7.751718
150	-6177.316	-6195.36	18.04437	1.687029	26.70966	0.252823	0.616991	1.05975	2.07044	7.662236
160	-6172.03	-6199.947	27.91774	1.374173	26.70966	0.205214	0.566178	1.04209	2.18652	7.292581
170	-6171.513	-6192.091	20.57828	1.38188	27.93191	0.206485	0.567637	1.04266	2.18322	7.5783
180	-6168.158	-6198.36	30.20165	1.229625	31.77976	0.180381	0.53635	1.02963	2.25364	7.223074
190	-6162.254	-6205.73	43.47567	1.190961	35.25627	0.173411	0.527482	1.02562	2.27349	6.759463
200	-6148.993	-6196.771	47.77803	0.9591119	30.49365	0.128725	0.464107	0.99288	2.41429	6.663068
210	-6123.857	-6183.344	59.48694	0.9532995	34.20477	0.127544	0.46225	0.991809	2.4184	6.311446
220	-6148.779	-6201.671	52.8916	1.11294	32.73701	0.158922	0.508252	1.01645	2.31637	6.511448
230	-6164.346	-6217.576	53.23061	1.125788	30.55202	0.161347	0.511549	1.01807	2.30903	6.485195
240	-6148.62	-6207.986	59.36657	0.907333	34.64992	0.118114	0.44701	0.982772	2.4521	6.312991
250	-6158.518	-6211.258	52.74061	0.8971979	36.88486	0.116013	0.443511	0.980633	2.45984	6.469114
260	-6136.818	-6192.492	55.67418	1.129874	35.36861	0.162115	0.512587	1.01858	2.30672	6.41216
270	-6136.606	-6188.201	51.59447	1.103662	33.18918	0.157161	0.505837	1.01526	2.32175	6.549611
280	-6136.189	-6204.06	67.87115	0.8899245	31.90768	0.114502	0.440968	0.979064	2.46547	6.040309
290	-6134.531	-6187.797	53.26533	1.100472	32.74996	0.156554	0.504999	1.01484	2.32361	6.500027
300	-6143.132	-6201.763	58.63133	1.109669	32.18436	0.158302	0.507403	1.01604	2.31826	6.332503
310	-6149.228	-6199.458	50.22949	0.8674083	34.1273	0.109801	0.432921	0.974015	2.48326	6.582939
320	-6148.563	-6185.757	37.19383	1.111902	31.65194	0.158725	0.507983	1.01632	2.31697	7.004258
330	-6197.368	-6206.321	8.953699	1.265834	26.6439	0.186781	0.544293	1.0331	2.23583	8.002571
340	-6178.99	-6205.603	26.61239	1.408074	25.38805	0.210766	0.572504	1.04453	2.1722	7.296287
350	-6162.155	-6189.844	27.68953	1.53016	29.55734	0.229944	0.593501	1.05214	2.12441	7.32905
360	-6171.751	-6188.353	16.60183	1.263218	28.48955	0.186323	0.54373	1.03286	2.23709	7.717581
370	-6202.069	-6203.117	1.048908	1.605708	24.26881	0.2412	0.605255	1.05607	2.09747	8.288493
380	-6190.273	-6185.368	-4.905564	1.789627	26.03569	0.2668	0.6306	1.06371	2.03889	8.532267
390	-6187.028	-6202.89	15.8623	1.163794	26.16466	0.16843	0.520997	1.0226	2.28797	7.736847
400	-6197.619	-6198.234	0.614768	1.394486	25.9604	0.208553	0.569996	1.04357	2.17788	8.320518
410	-6196.197	-6199.155	2.957745	1.169983	28.15322	0.169571	0.522494	1.02331	2.28463	8.204426
420	-6158.525	-6182.029	23.50382	1.694192	28.36608	0.253823	0.617983	1.06005	2.06815	7.475194
430	-6170.751	-6195.224	24.4727	1.561178	29.55168	0.23462	0.598433	1.05382	2.11313	7.437927
440	-6195.936	-6201.922	5.98555	1.624396	29.39916	0.243915	0.608033	1.05696	2.09109	8.067839
450	-6145.887	-6186.124	40.23725	1.275407	30.90827	0.188453	0.546337	1.03397	2.23124	6.910668
460	-6165.153	-6197.556	32.40284	1.233455	30.0069	0.181063	0.537207	1.03001	2.25172	7.169346
470	-6164.146	-6180.303	16.15632	1.715365	25.45091	0.256758	0.620876	1.06091	2.06145	7.709884
480	-6178.64	-6183.796	5.156179	1.259623	25.71594	0.185692	0.542954	1.03252	2.23883	8.144343
490	-6195.825	-6201.082	5.256954	1.683947	25.32151	0.252392	0.616562	1.05962	2.07143	8.136659
500	-6190.51	-6185.722	-4.787553	1.591876	22.54795	0.239173	0.603168	1.05539	2.10227	8.480838
510	-6177.749	-6189.715	11.96597	1.483514	27.57495	0.222765	0.585789	1.04944	2.14201	7.889165
520	-6147.758	-6186.295	38.5368	1.431787	28.25804	0.21459	0.576794	1.04615	2.16246	6.942975
530	-6183.159	-6200.224	17.06578	1.261951	29.20618	0.1861	0.543457	1.03274	2.2377	7.693706
540	-6159.53	-6185.251	25.72087	1.939758	29.99252	0.285976	0.648451	1.06841	1.99717	7.392167
550	-6164.773	-6193.783	29.00958	1.771023	29.86734	0.264321	0.628224	1.06304	2.04441	7.28321
560	-6178.229	-6193.043	14.81374	1.85435	26.19599	0.275246	0.638574	1.06588	2.0203	7.777386
570	-6186.381	-6198.327	11.94588	1.802232	28.60804	0.268467	0.632189	1.06415	2.03519	7.87931
580	-6170.189	-6189.848	19.65906	1.859754	31.38656	0.275938	0.63922	1.06605	2.01879	7.565094
590	-6191.777	-6217.215	25.43732	1.429202	30.50149	0.214176	0.576332	1.04598	2.16351	7.395596
600	-6197.511	-6199.99	2.479518	2.010852	25.48518	0.294567	0.656163	1.07026	1.97901	8.247468
610	-6165.679	-6190.659	24.97928	1.711599	33.48405	0.256238	0.620366	1.06076	2.06264	7.342886
620	-6156.829	-6185.447	28.61745	1.670562	30.54785	0.250509	0.614686	1.05904	2.07576	7.290854
630	-6153.246	-6197.608	44.36179	1.425479	32.60113	0.213578	0.575663	1.04573	2.16503	6.773122
640	-6142.644	-6181.856	39.21231	1.247072	30.33611	0.18348	0.54022	1.03133	2.24497	6.943677
650	-6168.236	-6193.618	25.38202	1.367582	33.46846	0.204123	0.564921	1.0416	2.18936	7.331318
660	-6170.258	-6190.38	20.12235	1.586394	26.90612	0.238365	0.602332	1.05512	2.10419	7.587247
670	-6166.792	-6192.742	25.9493	1.312532	26.07809	0.194857	0.554056	1.03721	2.21387	7.348563
680	-6171.367	-6202.284	30.91702	1.276409	33.04324	0.188627	0.54655	1.03406	2.23076	7.175983
690	-6185.052	-6210.398	25.34599	1.076858	28.72226	0.152029	0.498694	1.01165	2.33762	7.411022
700	-6136.329	-6200.589	64.26004	1.129918	35.25539	0.162123	0.512598	1.01858	2.30669	6.169944
710	-6110.481	-6177.443	66.96213	0.9710648	35.48222	0.131145	0.467878	0.995035	2.40594	6.092653
720	-6148.005	-6198.381	50.37663	1.482457	32.65935	0.2226	0.58561	1.04937	2.14242	6.588487
730	-6205.758	-6213.007	7.248906	1.680878	27.88181	0.251961	0.616134	1.05949	2.07242	8.056243
740	-6199.769	-6186.96	-12.80956	1.380491	23.46592	0.206256	0.567375	1.04256	2.18381	8.855529
750	-6192.935	-6198.042	5.106376	1.503779	26.64462	0.225906	0.589184	1.05064	2.13427	8.146965
760	-6162.408	-6193.389	30.981	1.173032	31.51621	0.170132	0.523227	1.02365	2.28299	7.202553
770	-6147.636	-6194.636	47.00075	1.377786	30.13304	0.205811	0.566864	1.04236	2.18497	6.684536
780	-6134.264	-6189.049	54.78502	0.8547943	31.30148	0.107154	0.428293	0.971053	2.4935	6.445027
790	-6169.099	-6195.055	25.95622	1.560155	28.99111	0.234467	0.598272	1.05377	2.11349	7.389772
800	-6177.602	-6191.959	14.35709	1.228342	27.69146	0.180151	0.536063	1.0295	2.25429	7.802126
810	-6160.123	-6164.689	4.565504	1.921779	26.46108	0.283755	0.646429	1.0679	2.00191	8.168094
820	-6157.563	-6193.938	36.37536	1.099878	30.15817	0.15644	0.504843	1.01476	2.32396	7.037175
830	-6179.634	-6201.16	21.52582	1.192009	25.8266	0.173602	0.527728	1.02573	2.27294	7.511172
840	-6154.484	-6189.059	34.57529	1.24578	29.79231	0.183251	0.539936	1.03121	2.2456	7.096749
850	-6197.042	-6222.913	25.87136	1.440994	26.13603	0.216062	0.578431	1.04676	2.15875	7.353407
860	-6168.434	-6197.263	28.82825	1.513904	29.44613	0.227462	0.590855	1.05123	2.13046	7.290778
870	-6149.069	-6180.982	31.91308	0.9965892	27.00748	0.136273	0.475724	0.999433	2.38857	7.151939
880	-6140.418	-6185.225	44.8066	1.19106	30.07126	0.173429	0.527505	1.02563	2.27343	6.756699
890	-6142.633	-6180.873	38.23989	1.332918	32.19725	0.19832	0.558157	1.03889	2.20463	6.965939
900	-6185.004	-6202.381	17.37679	1.197174	28.63403	0.17454	0.528935	1.02629	2.27024	7.689256
910	-6177.171	-6182.308	5.137288	1.767224	25.38091	0.263811	0.627734	1.0629	2.04555	8.142081
920	-6154.89	-6182.107	27.21719	1.550153	27.8748	0.232967	0.596697	1.05324	2.1171	7.339987
930	-6153.158	-6173.556	20.39811	1.451603	30.30422	0.217748	0.580297	1.04745	2.15451	7.564437
940	-6166.566	-6181.862	15.2957	1.510169	26.75351	0.226889	0.59024	1.05101	2.13186	7.765518
950	-6173.797	-6189.799	16.00249	1.173214	26.99205	0.170165	0.523271	1.02367	2.28289	7.74096
960	-6184.339	-6188.044	3.704614	1.594191	25.32309	0.239513	0.603519	1.05551	2.10146	8.19798
970	-6188.926	-6198.32	9.39403	1.584984	26.29645	0.238157	0.602117	1.05505	2.10468	7.984888
980	-6142.217	-6171.002	28.78538	1.073027	31.74778	0.15129	0.497653	1.01112	2.33994	7.268217
990	-6158.076	-6197.314	39.23768	1.337522	32.45843	0.199097	0.559071	1.03926	2.20257	6.932048
1000	-6132.339	-6168.915	36.57623	1.215022	31.04733	0.177765	0.533049	1.02815	2.26103	7.028401
1010	-6152.738	-6185.975	33.23737	1.358751	31.63731	0.202655	0.563222	1.04092	2.1932	7.129445
1020	-6144.346	-6175.799	31.45332	1.547121	31.53679	0.232511	0.596216	1.05307	2.1182	7.187279
1030	-6143.308	-6176.404	33.09597	1.217632	27.44515	0.178234	0.533643	1.02842	2.2597	7.119873
1040	-6185.91	-6202.581	16.67101	1.823776	27.49011	0.271291	0.634863	1.06488	2.02896	7.718427
1050	-6179.064	-6190.982	11.91857	1.513922	25.16892	0.227465	0.590857	1.05123	2.13045	7.869932
1060	-6185.809	-6204.94	19.13151	1.139964	28.27594	0.164005	0.515126	1.01981	2.30106	7.62964
1070	-6169.329	-6187.943	18.61429	1.543681	28.42461	0.231992	0.595669	1.05289	2.11945	7.647288
1080	-6160.862	-6190.294	29.43175	1.384242	30.35144	0.206874	0.568082	1.04283	2.18221	7.265958
1090	-6153.268	-6185.484	32.21575	1.205159	27.3039	0.175987	0.530787	1.02713	2.2661	7.148592
1100	-6159.224	-6189.027	29.80375	1.3631	31.64233	0.203379	0.564061	1.04126	2.1913	7.237894
1110	-6138.741	-6174.756	36.01537	1.278088	33.35084	0.18892	0.546906	1.03422	2.22996	7.015928
1120	-6143.284	-6180.181	36.89742	1.507206	29.9377	0.226434	0.589751	1.05084	2.13297	7.01936
1130	-6175.11	-6215.733	40.62335	1.250025	31.68859	0.184001	0.540867	1.03161	2.24352	6.895697
1140	-6195.348	-6206.651	11.30243	1.212896	30.72282	0.177382	0.532564	1.02793	2.26212	7.852493
1150	-6181.269	-6194.749	13.47913	1.249988	28.47348	0.183995	0.540859	1.03161	2.24354	7.827381
1160	-6185.396	-6195.914	10.51819	1.334596	25.85561	0.198604	0.558491	1.03903	2.20388	7.937763
1170	-6171.754	-6183.039	11.28511	1.515018	25.56032	0.227633	0.591037	1.05129	2.13004	7.903356
1180	-6170.607	-6179.755	9.148146	1.491984	24.88486	0.224082	0.587217	1.04995	2.13875	7.973491
1190	-6140.535	-6169.979	29.44466	1.258048	28.62966	0.185415	0.542614	1.03237	2.2396	7.267776
1200	-6130.398	-6174.585	44.1871	1.539789	30.52594	0.231404	0.595048	1.05268	2.12087	6.781036
1210	-6133.607	-6185.891	52.28399	1.092946	32.29573	0.155117	0.503011	1.01384	2.32803	6.529938
1220	-6128.523	-6179.305	50.78237	1.181022	30.61596	0.171597	0.525135	1.02454	2.27873	6.566154
1230	-6140.2	-6174.294	34.09486	1.452575	28.73286	0.217903	0.580467	1.04751	2.15412	7.106536
1240	-6149.745	-6179.499	29.75412	1.270125	28.61974	0.187531	0.545212	1.03349	2.23376	7.2569
1250	-6169.304	-6188.764	19.45944	1.40134	26.75367	0.209671	0.571266	1.04406	2.175	7.609887
1260	-6167.407	-6184.614	17.20704	1.93526	26.69117	0.285422	0.647948	1.06828	1.99835	7.693372
1270	-6165.232	-6192.971	27.73926	1.23886	27.97274	0.182025	0.538408	1.03054	2.24903	7.322384
1280	-6163.256	-6183.593	20.33747	1.303703	31.02804	0.193345	0.55225	1.03646	2.21794	7.551866
1290	-6138.778	-6161.337	22.55915	1.465244	31.69433	0.219903	0.582667	1.04831	2.14912	7.465614
1300	-6150.212	-6164.982	14.77054	1.216008	26.05909	0.177942	0.533274	1.02825	2.26053	7.776918
1310	-6151.952	-6161.839	9.886258	1.582809	28.28484	0.237836	0.601784	1.05494	2.10544	7.956476
1320	-6137.689	-6171.659	33.96953	1.522212	31.35254	0.228734	0.592212	1.0517	2.12735	7.109507
1330	-6179.072	-6201.672	22.59954	1.00936	28.12077	0.138818	0.479547	1.00153	2.3801	7.506663
1340	-6163.143	-6177.047	13.90413	1.542299	28.42759	0.231783	0.595449	1.05281	2.11996	7.812963
1350	-6128.605	-6164.769	36.1639	1.224673	31.99821	0.179496	0.535237	1.02913	2.25613	7.032951
1360	-6139.861	-6168.771	28.91062	1.576163	28.64809	0.236852	0.600762	1.0546	2.10779	7.286533
1370	-6132.15	-6170.315	38.16449	0.9265421	26.12366	0.122074	0.453501	0.986676	2.43775	6.88244
1380	-6171.03	-6193.962	22.93216	1.362475	28.13633	0.203275	0.563941	1.04121	2.19158	7.494885
1390	-6162.429	-6193.433	31.00349	1.20174	26.84532	0.175368	0.529996	1.02677	2.26786	7.181101
1400	-6133.089	-6170.515	37.42564	1.47932	33.4993	0.22211	0.585078	1.04918	2.14363	6.970888
1410	-6163.09	-6183.483	20.39364	1.329593	26.74675	0.197758	0.557495	1.03862	2.20612	7.574862
1420	-6149.196	-6174.335	25.1393	1.351308	26.06762	0.201412	0.561778	1.04035	2.19646	7.379294
1430	-6158.847	-6185.928	27.08092	1.831225	27.47273	0.27226	0.635776	1.06513	2.02683	7.339477
1440	-6148.264	-6176.904	28.64042	1.353885	28.73301	0.201843	0.562279	1.04055	2.19533	7.29637
1450	-6182.802	-6202.262	19.45948	1.313143	27.53104	0.194961	0.55418	1.03726	2.21359	7.617205
1460	-6160.075	-6182.554	22.47845	1.386041	28.06404	0.207169	0.568419	1.04296	2.18145	7.510798
