Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	0	-14509.43	-14923.75	414.3218	81.23746	7.541668
1	1	-14825.04	-15222.23	397.1941	72.4443	7.738919
2	0	-14429.85	-14856.8	426.9522	83.28188	7.384699
3	1	-14772.87	-15172.11	399.246	73.42035	7.718263
4	0	-14380.59	-14796.1	415.5098	74.99109	7.510262
5	1	-14804.3	-15210.03	405.7323	78.983	7.650828
6	0	-14354.58	-14771.25	416.6676	79.65026	7.513145
7	1	-14745.32	-15152.99	407.6676	75.15602	7.615783
8	0	-14300.78	-14726.77	425.994	80.3584	7.397297
9	1	-14573.87	-14989.2	415.3244	74.56161	7.509478
10	0	-14264.21	-14686.58	422.37	81.27639	7.442585
11	1	-14556.6	-14969.31	412.711	80.8803	7.562049
12	0	-14220.1	-14672.65	452.5481	81.27639	7.071283
13	1	-14481.35	-14913.91	432.5544	83.66053	7.316971
14	0	-14234.21	-14658.95	424.7311	87.10212	7.396272
15	1	-14428.69	-14863.98	435.285	79.75777	7.279792
16	0	-14174.87	-14638.54	463.6691	87.10212	6.949234
17	1	-14383.36	-14832.22	448.8609	78.93425	7.104447
18	0	-14176.24	-14619.1	442.8547	81.862	7.191966
19	1	-14375.13	-14812.16	437.0258	86.82612	7.256191
20	0	-14176.66	-14618.47	441.8123	84.98472	7.205292
21	1	-14232.58	-14708.12	475.539	90.96022	6.810445
22	0	-14214.26	-14638.65	424.3844	87.93067	7.395284
23	1	-14208.35	-14688.34	479.9934	93.59827	6.75434
24	0	-14192.19	-14631.13	438.9438	88.75241	7.225791
25	1	-14200.9	-14671.54	470.6426	85.65698	6.867535
26	0	-14177.64	-14610.66	433.013	83.81689	7.311266
27	1	-14189.04	-14656.63	467.5904	86.51587	6.904035
28	0	-14168.32	-14617.57	449.246	86.95792	7.115158
29	1	-14239.34	-14685.59	446.2524	92.71317	7.121223
30	0	-14172.11	-14625.39	453.2785	83.12243	7.06826
31	1	-14195.06	-14659.5	464.4373	85.02957	6.939144
32	0	-14163.75	-14625.1	461.3437	87.71298	6.975275
33	1	-14173.71	-14641.29	467.5711	94.94388	6.879678
34	0	-14166.24	-14612.75	446.5048	83.07553	7.149695
