Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	-14825.04	-15222.23	397.1941	72.4443	7.738919
10	-14772.87	-15172.11	399.246	73.42035	7.718263
20	-14804.3	-15210.03	405.7323	78.983	7.650828
30	-14745.32	-15152.99	407.6676	75.15602	7.615783
40	-14573.87	-14989.2	415.3244	74.56161	7.509478
50	-14556.6	-14969.31	412.711	80.8803	7.562049
60	-14481.35	-14913.91	432.5544	83.66053	7.316971
70	-14428.69	-14863.98	435.285	79.75777	7.279792
80	-14383.36	-14832.22	448.8609	78.93425	7.104447
90	-14375.13	-14812.16	437.0258	86.82612	7.256191
100	-14232.58	-14708.12	475.539	90.96022	6.810445
110	-14208.35	-14688.34	479.9934	93.59827	6.75434
120	-14200.9	-14671.54	470.6426	85.65698	6.867535
130	-14189.04	-14656.63	467.5904	86.51587	6.904035
140	-14239.34	-14685.59	446.2524	92.71317	7.121223
150	-14195.06	-14659.5	464.4373	85.02957	6.939144
160	-14173.71	-14641.29	467.5711	94.94388	6.879678
170	-14217.13	-14687.04	469.9062	89.57538	6.875692
180	-14210.72	-14655.75	445.0285	81.1897	7.163529
190	-14193.53	-14655.18	461.6441	83.09076	6.967511
200	-14185.01	-14633.18	448.1653	83.32715	7.130039
210	-14225.08	-14668.43	443.3478	91.45943	7.161195
220	-14217.06	-14673.4	456.3412	84.50668	7.033938
230	-14216.13	-14685.39	469.266	83.17579	6.87616
240	-14200.94	-14664.31	463.3645	86.69552	6.952869
250	-14184.22	-14666.49	482.2688	92.5668	6.733149
260	-14171.6	-14638.48	466.878	89.00267	6.910637
270	-14219.7	-14681.37	461.6709	93.08939	6.952932
280	-14192.41	-14646.74	454.331	80.8227	7.04717
290	-14212.51	-14656.65	444.1345	83.23962	7.178356
300	-14217.61	-14650.51	432.8948	91.56684	7.274651
310	-14195.59	-14662.31	466.7136	88.32229	6.913492
320	-14177.54	-14638.67	461.1297	85.74313	6.978637
330	-14161.63	-14638.24	476.6055	87.89338	6.801377
340	-14170.48	-14633.91	463.4293	89.40393	6.948442
350	-14167.46	-14638.17	470.7158	90.46799	6.864775
360	-14202.73	-14658.61	455.8756	84.22117	7.039116
370	-14147.12	-14633.16	486.0338	93.45594	6.690217
380	-14176.52	-14653.96	477.4483	90.86252	6.789648
390	-14189.63	-14638.75	449.1231	89.47685	7.108144
400	-14217.51	-14684.33	466.8237	87.3174	6.912979
410	-14165.1	-14642.2	477.1006	88.02684	6.795808
420	-14179.59	-14650.67	471.0854	81.37709	6.84391
430	-14215.22	-14655	439.7812	89.2714	7.213669
440	-14190.44	-14634.85	444.408	84.00167	7.175319
450	-14147.98	-14620.1	472.1178	89.89194	6.850464
460	-14175.68	-14650.53	474.8531	89.9655	6.819924
470	-14164.84	-14631.35	466.506	85.21733	6.91516
480	-14116.47	-14581.59	465.1243	92.5351	6.918508
490	-14091.7	-14572.85	481.1419	91.77023	6.747313
500	-14127.56	-14590.63	463.0739	86.12031	6.95617
510	-14151.8	-14603.05	451.2528	83.11976	7.092625
520	-14134.57	-14619.97	485.4046	89.31344	6.702619
530	-14148.12	-14643.05	494.9323	91.16342	6.597239
540	-14088.47	-14595.5	507.0268	90.97092	6.46429
550	-14150.99	-14615.58	464.5906	89.2816	6.935736
560	-14165.28	-14601.85	436.57	79.87074	7.264094
570	-14182.99	-14623.57	440.5765	81.43542	7.21895
580	-14125.29	-14597.62	472.3364	86.57037	6.849243
590	-14126.37	-14588.71	462.3379	87.14366	6.964489
600	-14165.11	-14622.26	457.1578	86.44461	7.024675
610	-14122.41	-14574.82	452.4113	82.53648	7.077311
620	-14104.17	-14571.87	467.6967	88.28974	6.902396
630	-14134.17	-14597.95	463.7778	89.48211	6.944349
640	-14158.05	-14611.44	453.3923	81.52467	7.061944
650	-14163.98	-14603.25	439.2736	87.26414	7.228701
660	-14169.04	-14614.96	445.9177	87.49844	7.151844
670	-14150.85	-14608.25	457.3984	81.26807	7.011565
680	-14138.88	-14603.1	464.2231	90.66559	6.935885
690	-14152.17	-14607.05	454.8754	91.51559	7.034867
700	-14162.94	-14599.51	436.5717	84.77285	7.267394
710	-14117.06	-14580.63	463.568	83.233	6.944868
720	-14136.68	-14591.02	454.3426	92.40663	7.035775
730	-14096.55	-14563.77	467.2211	84.12044	6.904106
740	-14136.35	-14599.91	463.5546	87.99282	6.949738
750	-14124.59	-14579.53	454.9455	83.13891	7.048244
760	-14149.68	-14594.76	445.0837	84.81639	7.16695
770	-14118.86	-14588.5	469.638	90.58553	6.876378
780	-14146.25	-14595.33	449.0723	83.20331	7.118983
790	-14152.6	-14604.74	452.1424	86.50179	7.082612
800	-14139.65	-14588.39	448.735	84.09967	7.123855
810	-14156.98	-14591.01	434.0291	84.47974	7.298021
820	-14146.03	-14600.23	454.2072	88.10903	7.055669
830	-14106.87	-14590.58	483.7146	92.51043	6.717669
840	-14151.71	-14595.17	443.4637	84.26699	7.186468
850	-14120.54	-14589.76	469.2268	84.64036	6.881834
860	-14111.9	-14588.63	476.7309	86.20953	6.797783
870	-14115.66	-14606.1	490.4406	94.39197	6.640559
