Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-13633.33	-13819.52	186.1863	0.5155508	57.06013	0.036305	0.261947	0.831262	2.87049	10.78598
10	-13633.41	-13834.11	200.6994	0.5401563	59.40221	0.0410506	0.277325	0.847423	2.8342	10.52768
20	-13608.39	-13817.88	209.4878	0.5655761	54.69613	0.046095	0.292587	0.862687	2.79863	10.35593
30	-13617.05	-13807.43	190.3828	0.5933027	58.45794	0.0517297	0.308529	0.877863	2.76188	10.70777
40	-13659.9	-13824.79	164.8921	0.5045125	52.56068	0.0342271	0.254852	0.823524	2.8874	11.16425
50	-13631.07	-13817.35	186.2763	0.5015606	57.22094	0.0336774	0.252933	0.821401	2.89199	10.78398
60	-13627.07	-13821.53	194.4567	0.4933879	57.13606	0.0321689	0.247577	0.815397	2.90486	10.64104
70	-13599.44	-13798.34	198.8951	0.6617536	53.39816	0.0660452	0.344911	0.909827	2.67922	10.53248
80	-13576.68	-13798.62	221.9398	0.559904	56.80155	0.0449583	0.289236	0.859398	2.80641	10.15705
90	-13517.6	-13793.34	275.7363	0.5510806	63.02859	0.0432024	0.283961	0.854151	2.81869	9.301897
100	-13487.43	-13780.38	292.9522	0.4957817	63.66242	0.0326086	0.249153	0.817175	2.90106	9.034161
110	-13504.4	-13799.95	295.5521	0.5715141	68.90296	0.0472911	0.296062	0.86606	2.79059	9.004755
120	-13523.23	-13808.27	285.039	0.5458444	67.15763	0.0421678	0.280795	0.850959	2.82608	9.164039
130	-13482.03	-13801.02	318.982	0.5555661	64.36052	0.0440931	0.286652	0.856839	2.81242	8.634454
140	-13466.23	-13784.16	317.9242	0.5334	67.98911	0.0397329	0.273162	0.843128	2.84398	8.677866
150	-13479.17	-13783.62	304.447	0.5770278	67.98911	0.0484073	0.299259	0.869131	2.7832	8.876092
160	-13476.11	-13791.08	314.9755	0.5177298	68.0924	0.0367191	0.263333	0.832752	2.8672	8.721503
170	-13457.94	-13781.74	323.8004	0.4876027	70.34634	0.0311136	0.243746	0.811034	2.91411	8.596755
180	-13456.1	-13770.98	314.8801	0.5482811	69.76293	0.0426486	0.282271	0.852452	2.82263	8.724292
190	-13436.08	-13760.76	324.6723	0.5651323	73.06179	0.0460058	0.292326	0.862432	2.79924	8.578762
200	-13463.02	-13789.2	326.1817	0.5377532	70.40833	0.0405807	0.275849	0.845907	2.83766	8.562932
210	-13502.86	-13780.94	278.0817	0.5543208	62.70796	0.0438455	0.285907	0.856097	2.81415	9.262737
220	-13473.44	-13764.87	291.4264	0.6269258	62.6507	0.0587047	0.326912	0.894458	2.71993	9.049357
230	-13500.21	-13783.42	283.2116	0.5757432	65.01027	0.0481468	0.298517	0.868421	2.78492	9.192026
240	-13480.65	-13764.15	283.4966	0.5298896	70.29833	0.0390525	0.270981	0.840855	2.84911	9.170076
250	-13513.69	-13771.58	257.8915	0.6073714	60.47872	0.0546319	0.316345	0.885034	2.74399	9.574897
260	-13535.63	-13771.37	235.7481	0.6063347	58.81687	0.0544172	0.315775	0.884517	2.74529	9.934329
270	-13546.53	-13754.35	207.8235	0.5529237	53.05547	0.0435679	0.285069	0.855261	2.8161	10.3584
280	-13475.2	-13771.98	296.7771	0.5785303	65.58951	0.0487123	0.300125	0.869957	2.7812	8.985973
290	-13509.86	-13749.05	239.1903	0.5627724	63.08373	0.0455324	0.290934	0.861069	2.80246	9.881498
300	-13516.45	-13780.84	264.3894	0.5765397	65.26342	0.0483082	0.298977	0.868861	2.78385	9.480861
310	-13468.8	-13752.62	283.8169	0.5953058	63.45284	0.0521413	0.309653	0.878905	2.7593	9.176463
320	-13516.15	-13764.22	248.0712	0.5221384	63.0025	0.0375607	0.266123	0.835732	2.86058	9.740876
330	-13458	-13752.93	294.9286	0.5677384	67.14992	0.0465298	0.293856	0.863923	2.79569	9.016779
340	-13408.89	-13711.55	302.6613	0.6253695	67.37476	0.0583791	0.326083	0.89373	2.72181	8.901961
350	-13496.31	-13758.25	261.9391	0.5436714	61.58669	0.0417402	0.279473	0.849616	2.82917	9.515786
360	-13484.51	-13759.52	275.0055	0.524555	64.92848	0.0380242	0.267644	0.837344	2.85699	9.318243
370	-13463.96	-13724.04	260.0807	0.5417691	63.87883	0.0413667	0.278312	0.848433	2.83189	9.550353
380	-13438.43	-13725.62	287.1955	0.5465894	65.06221	0.0423147	0.281247	0.851417	2.82502	9.130894
390	-13435.24	-13753.92	318.6853	0.5860137	68.91213	0.0502368	0.304408	0.874012	2.77134	8.669035
400	-13410.32	-13741.32	330.9996	0.4987456	72.33926	0.0331555	0.251096	0.819354	2.89639	8.493935
410	-13410.89	-13735.85	324.9627	0.606517	74.27167	0.0544549	0.315875	0.884608	2.74506	8.568729
420	-13398.74	-13751.81	353.0715	0.4526043	75.18749	0.0249768	0.219853	0.782464	2.97271	8.188967
430	-13340.79	-13725.47	384.6777	0.478519	77.24996	0.0294788	0.237661	0.803986	2.92887	7.772694
440	-13342.69	-13732.35	389.6595	0.553244	77.37963	0.0436315	0.285261	0.855453	2.81565	7.708368
450	-13326.74	-13733.46	406.7231	0.4522095	77.16734	0.0249102	0.219577	0.782119	2.97339	7.486964
460	-13328.5	-13724.43	395.9266	0.5037629	78.18559	0.0340873	0.254365	0.822987	2.88856	7.628725
470	-13424.24	-13718.6	294.3627	0.4745913	69.05471	0.0287806	0.235005	0.800862	2.93535	9.021472
480	-13368.91	-13747.11	378.2018	0.5207631	71.25116	0.0372976	0.265255	0.834807	2.86264	7.832559
490	-13354.04	-13739.26	385.2256	0.4972015	79.81451	0.0328702	0.250085	0.818221	2.89882	7.762942
500	-13382.09	-13765.37	383.2805	0.475071	75.27338	0.0288656	0.23533	0.801246	2.93456	7.78746
510	-13388.75	-13761.93	373.1785	0.5078221	75.67048	0.0348466	0.256992	0.825878	2.88228	7.922084
520	-13381.27	-13715.98	334.7121	0.5651707	73.57859	0.0460135	0.292348	0.862454	2.79918	8.43995
530	-13376.19	-13745.41	369.2164	0.6354788	78.36358	0.0604983	0.331428	0.898393	2.70968	7.969755
540	-13393.43	-13741.05	347.6189	0.5561043	72.6683	0.0442003	0.286973	0.857159	2.81167	8.264526
550	-13449.35	-13743.07	293.7202	0.544359	72.03223	0.0418754	0.279892	0.850042	2.82819	9.01198
560	-13384.93	-13735.17	350.2376	0.5631607	73.09732	0.0456102	0.291164	0.861294	2.80193	8.22887
570	-13356.72	-13721.01	364.2953	0.6136008	71.37743	0.0559248	0.319748	0.888102	2.73622	8.028535
580	-13406.54	-13762.99	356.454	0.5135988	70.86204	0.0359351	0.260701	0.829916	2.87345	8.135734
590	-13352.89	-13735.84	382.9536	0.5943813	79.57268	0.0519513	0.309135	0.878425	2.76049	7.792089
600	-13337.13	-13698.91	361.7855	0.5333438	72.67006	0.039722	0.273127	0.843092	2.84406	8.069583
610	-13341.27	-13738.14	396.8735	0.4528796	84.11691	0.0250232	0.220046	0.782705	2.97223	7.603535
620	-13275.82	-13747.75	471.9263	0.4922125	82.63006	0.0319536	0.246802	0.814518	2.90673	6.702054
630	-13282.85	-13717.24	434.3962	0.4753186	86.81606	0.0289095	0.235498	0.801444	2.93415	7.153905
640	-13307.3	-13722.96	415.6588	0.5067054	78.87477	0.0346372	0.256271	0.825087	2.88401	7.379022
650	-13288.45	-13697.24	408.79	0.4799643	82.5842	0.029737	0.238635	0.805124	2.9265	7.466235
660	-13339.79	-13715.58	375.7871	0.531698	78.3362	0.0394027	0.272106	0.842029	2.84646	7.885971
670	-13353.71	-13712.9	359.1973	0.5623923	74.97776	0.0454562	0.29071	0.860849	2.80299	8.107671
680	-13248.84	-13705.16	456.3272	0.4880671	94.50933	0.0311979	0.244054	0.811388	2.91336	6.879338
690	-13264.96	-13742.63	477.666	0.4994613	87.13653	0.0332879	0.251564	0.819876	2.89527	6.656459
700	-13233.18	-13718.55	485.3674	0.3937699	99.17252	0.015826	0.177087	0.72445	3.08264	6.554248
710	-13209.48	-13733.72	524.2331	0.4200581	94.40282	0.0197113	0.196574	0.752104	3.03161	6.16061
720	-13214.2	-13715.04	500.8434	0.5095393	97.36396	0.0351692	0.258098	0.827087	2.87965	6.403749
730	-13231.96	-13735.78	503.8297	0.4922421	95.07891	0.031959	0.246821	0.814541	2.90668	6.376435
740	-13230.63	-13715.31	484.6809	0.4294299	89.89808	0.021179	0.203378	0.761259	3.01418	6.582639
750	-13263.92	-13732.92	468.9923	0.4931821	89.34227	0.0321311	0.247442	0.815243	2.90518	6.757466
760	-13262.07	-13715.1	453.0392	0.4831576	86.5679	0.0303102	0.240779	0.807616	2.9213	6.939161
770	-13205.67	-13679.54	473.8714	0.4644005	85.32243	0.0269949	0.228041	0.792531	2.95243	6.694079
780	-13290.44	-13699.38	408.9365	0.4979752	74.56525	0.0330131	0.250592	0.81879	2.89761	7.440775
790	-13355.23	-13725.2	369.9768	0.490807	74.0994	0.0316968	0.245872	0.813462	2.90897	7.962235
800	-13350.22	-13705.87	355.6437	0.4811214	73.34479	0.0299443	0.239413	0.80603	2.92461	8.155245
810	-13381.55	-13744.41	362.8626	0.5264982	76.85144	0.038398	0.268863	0.838631	2.85411	8.056238
820	-13338.67	-13707.57	368.9007	0.5589384	77.21624	0.0447654	0.288662	0.858832	2.80774	7.976998
830	-13400.49	-13743.26	342.775	0.5535533	73.4429	0.0436929	0.285447	0.855638	2.81522	8.33057
840	-13388.82	-13741.05	352.2296	0.5145072	73.22693	0.0361071	0.261281	0.830544	2.87207	8.201722
850	-13417.04	-13719.42	302.3745	0.5368838	65.86797	0.040411	0.275314	0.845356	2.83892	8.901974
860	-13399.63	-13685.06	285.4335	0.5407664	67.49779	0.0411701	0.277699	0.847805	2.83333	9.157336
870	-13406.77	-13727	320.2269	0.5231654	70.09563	0.0377575	0.26677	0.836419	2.85905	8.64767
880	-13362.14	-13706.75	344.6107	0.5504302	71.98795	0.0430736	0.283569	0.853758	2.8196	8.305427
890	-13396.1	-13707.8	311.6945	0.5083098	67.20102	0.0349381	0.257306	0.826222	2.88153	8.767288
900	-13438.63	-13732.23	293.6004	0.6073652	72.0178	0.0546306	0.316341	0.88503	2.744	9.013767
910	-13399.24	-13747.03	347.7921	0.5224377	69.1238	0.0376181	0.266312	0.835932	2.86014	8.248258
920	-13337.92	-13739.41	401.4844	0.5765874	78.52297	0.0483179	0.299005	0.868888	2.78379	7.558252
930	-13325.94	-13743.98	418.044	0.5015172	83.14331	0.0336693	0.252905	0.821369	2.89206	7.353613
940	-13286.07	-13739.76	453.6932	0.4524898	87.71012	0.0249574	0.219773	0.782364	2.97291	6.931243
950	-13297.47	-13741.78	444.3041	0.3524461	85.95928	0.0104936	0.145456	0.674234	3.16982	7.040521
960	-13238.79	-13727.85	489.0558	0.4227162	91.07234	0.0201234	0.198512	0.754737	3.02663	6.535354
970	-13267.26	-13729.17	461.9166	0.4301689	94.72451	0.0212964	0.203911	0.761967	3.01283	6.819111
980	-13291.76	-13735.6	443.8441	0.4588323	79.7357	0.0260355	0.224193	0.787837	2.96193	7.027983
990	-13343.34	-13763.26	419.9256	0.4249697	79.20554	0.0204753	0.20015	0.756946	3.02243	7.326207
1000	-13298.5	-13698.72	400.2133	0.5435456	83.08203	0.0417155	0.279396	0.849538	2.82935	7.568308
1010	-13392.18	-13755.48	363.2996	0.4799538	76.47449	0.0297352	0.238628	0.805116	2.92652	8.05142
1020	-13389.85	-13736.99	347.1399	0.4531741	71.87764	0.025073	0.220252	0.782962	2.97171	8.270086
1030	-13355.45	-13732.31	376.8585	0.5430952	77.0897	0.041627	0.279122	0.849259	2.82999	7.874023
1040	-13351.47	-13707.65	356.1843	0.5390312	74.69832	0.0408304	0.276635	0.846715	2.83582	8.148143
1050	-13404.44	-13741.84	337.3975	0.62338	69.60862	0.0579632	0.325021	0.892794	2.72422	8.400898
1060	-13420.13	-13743.51	323.3882	0.5051885	69.49256	0.0343534	0.25529	0.824007	2.88635	8.601994
1070	-13461.85	-13734.6	272.7478	0.5457795	63.85849	0.042155	0.280755	0.850919	2.82617	9.35201
1080	-13498.61	-13770.58	271.9655	0.6273529	66.62959	0.0587941	0.327139	0.894657	2.71941	9.361125
1090	-13423.38	-13756.32	332.9424	0.5752606	68.05335	0.048049	0.298238	0.868153	2.78556	8.457392
1100	-13373.3	-13728.43	355.1307	0.5969814	78.20456	0.0524861	0.31059	0.879771	2.75715	8.150403
1110	-13363.87	-13738.89	375.0228	0.5012332	78.86384	0.0336165	0.25272	0.821164	2.8925	7.894253
1120	-13379.95	-13762.68	382.7312	0.5339232	76.15045	0.0398346	0.273486	0.843464	2.84322	7.796843
1130	-13349.31	-13722.37	373.0573	0.45195	71.74364	0.0248664	0.219395	0.781892	2.97385	7.908556
1140	-13370	-13733.23	363.2356	0.471393	76.43252	0.0282161	0.232831	0.798283	2.94067	8.052343
1150	-13422.32	-13755.59	333.2642	0.5836447	74.30645	0.0497532	0.303058	0.87274	2.77445	8.456805
1160	-13396.1	-13727.32	331.2203	0.5639311	74.1545	0.0457647	0.291618	0.86174	2.80088	8.48502
1170	-13425.59	-13730.89	305.3015	0.5633328	72.71499	0.0456447	0.291265	0.861394	2.8017	8.846521
1180	-13427.3	-13739.8	312.5008	0.5552715	69.82879	0.0440345	0.286476	0.856664	2.81283	8.758314
1190	-13453.77	-13736.99	283.216	0.5573719	71.8652	0.0444529	0.28773	0.857909	2.80991	9.159559
1200	-13495.44	-13748.79	253.3517	0.5196633	69.38291	0.0370876	0.264559	0.834065	2.86429	9.611235
1210	-13440.54	-13761.18	320.6332	0.5788758	70.37194	0.0487825	0.300324	0.870147	2.78075	8.641761
1220	-13369.44	-13710.64	341.1956	0.5190421	71.43049	0.0369691	0.264165	0.833644	2.86522	8.352248
1230	-13356.02	-13721.21	365.1968	0.4964912	75.56741	0.0327393	0.249619	0.817699	2.89994	8.027622
1240	-13388.16	-13764.65	376.4991	0.6051723	82.48146	0.0541766	0.315135	0.883935	2.74675	7.857934
1250	-13388.94	-13750.33	361.3927	0.4905357	69.77589	0.0316473	0.245692	0.813258	2.9094	8.057682
1260	-13400.29	-13742.21	341.9162	0.4808596	73.87077	0.0298974	0.239237	0.805826	2.92504	8.341463
1270	-13326.44	-13719.05	392.6073	0.5333354	78.08811	0.0397204	0.273122	0.843086	2.84407	7.671116
1280	-13347.04	-13756.29	409.2487	0.4851954	81.01944	0.0306777	0.242141	0.80919	2.91799	7.462484
1290	-13382.83	-13756.42	373.5902	0.4772371	77.02304	0.0292503	0.236796	0.802972	2.93098	7.916491
1300	-13446.02	-13777.08	331.0698	0.5444362	75.96946	0.0418906	0.279939	0.85009	2.82808	8.476535
1310	-13374.81	-13735.47	360.6559	0.5251858	74.01683	0.0381455	0.26804	0.837763	2.85605	8.087946
1320	-13413.12	-13754.44	341.3193	0.5261617	67.28726	0.0383332	0.268652	0.838409	2.85461	8.327319
1330	-13353.09	-13737.95	384.8618	0.5279417	77.75971	0.0386762	0.269766	0.839581	2.85198	7.770418
1340	-13367.35	-13725.78	358.4289	0.4431075	76.76686	0.0233926	0.213163	0.774012	2.98943	8.11421
1350	-13411.74	-13752.84	341.0985	0.4589595	77.76687	0.0260573	0.224282	0.787946	2.96172	8.333167
1360	-13400.08	-13758.15	358.0725	0.4712968	70.50082	0.0281992	0.232765	0.798205	2.94083	8.110616
1370	-13388.01	-13750.81	362.8007	0.4950128	72.58408	0.0324672	0.248648	0.816605	2.90228	8.055297
