Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	0	-1042.619	-1075.138	32.51907	22.04213	4.085147
1	1	-1047.963	-1070.945	22.98186	26.29535	4.405579
2	0	-1038.521	-1073.124	34.60314	27.50257	3.939181
3	1	-1041.267	-1074.092	32.82514	22.50585	4.072987
4	0	-1039.876	-1065.018	25.14269	17.77088	4.354467
5	1	-1029.529	-1070.165	40.63583	22.91429	3.732093
6	0	-1033.895	-1062.36	28.4648	21.44814	4.269302
7	1	-1042.086	-1078.663	36.57696	21.86411	3.898465
8	0	-1035.399	-1074.191	38.79161	30.00796	3.735836
9	1	-1044.029	-1072.405	28.37585	20.67954	4.26854
10	0	-1024.994	-1062.489	37.49565	23.63911	3.872152
11	1	-1051.174	-1080.12	28.94685	22.13055	4.246989
12	0	-1028.514	-1061.947	33.43235	23.59798	4.044279
13	1	-1027.05	-1065.312	38.26136	21.78614	3.819912
14	0	-1039.608	-1069.792	30.18404	21.22504	4.187493
15	1	-1036.018	-1065.501	29.48313	25.1577	4.184897
16	0	-1034.489	-1065.318	30.82987	24.98995	4.134471
17	1	-1021.859	-1056.973	35.11424	21.21986	3.95511
18	0	-1029.026	-1063.747	34.72012	26.11186	3.962393
19	1	-1048.275	-1071.064	22.78949	19.84538	4.536612
20	0	-1026.66	-1064.231	37.57104	21.89413	3.853521
21	1	-1026.354	-1058.427	32.07265	19.47392	4.056147
22	0	-1018.025	-1064.587	46.56293	22.82619	3.471237
23	1	-1047.908	-1068.378	20.46963	17.21672	4.594001
24	0	-1031.388	-1074.482	43.09409	26.57265	3.638934
25	1	-1045.904	-1074.083	28.1786	23.00155	4.274786
26	0	-1022.687	-1061.132	38.44532	28.56975	3.779336
27	1	-1025.285	-1067.502	42.21759	22.44098	3.654322
28	0	-1037.216	-1075.555	38.33926	26.92334	3.812773
29	1	-1027.401	-1061.639	34.23873	25.29407	3.993975
30	0	-1039.35	-1069.718	30.36859	22.19614	4.182728
31	1	-1031.069	-1057.645	26.57581	16.56037	4.187616
32	0	-1036.411	-1062.452	26.04107	19.68211	4.369986
33	1	-1030.258	-1061.927	31.66919	25.71338	4.087537
34	0	-1032.92	-1065.212	32.29196	22.0065	4.095274
35	1	-1037.366	-1072.685	35.31848	23.00584	3.964387
36	0	-1048.136	-1077.72	29.58393	22.6787	4.216062
37	1	-1041.612	-1078.351	36.73903	23.42502	3.903995
38	0	-1039.816	-1068.53	28.71422	21.62131	4.258047
39	1	-1024.555	-1066.266	41.71051	25.87869	3.696154
40	0	-1035.461	-1062.779	27.31736	22.40598	4.318597
41	1	-1031.769	-1067.793	36.0238	22.6751	3.932078
42	0	-1044.868	-1078.762	33.89469	19.94666	3.980572
43	1	-1030.961	-1066.369	35.40823	27.7292	3.905025
44	0	-1041.867	-1075.964	34.09631	26.32892	3.982269
45	1	-1038.779	-1070.925	32.14584	20.42501	4.080832
46	0	-1054.012	-1082.461	28.44901	20.4801	4.262583
47	1	-1049.973	-1080.79	30.81724	23.40167	4.157006
48	0	-1044.811	-1077.571	32.75992	25.35902	4.051358
49	1	-1040.352	-1073.919	33.56699	21.84434	4.035949
50	0	-1044.435	-1070.318	25.88364	24.58395	4.342622
51	1	-1043.215	-1077.198	33.98276	22.37428	4.020956
52	0	-1023.655	-1064.275	40.61958	26.16849	3.735974
53	1	-1036.276	-1072.963	36.68629	21.07908	3.87765
54	0	-1024.183	-1068.519	44.33651	21.80752	3.541753
55	1	-1040.618	-1078.25	37.63277	26.25888	3.848908
56	0	-1036.614	-1072.528	35.91435	24.6545	3.934047
57	1	-1025.754	-1060.653	34.89859	21.37213	3.968048
58	0	-1038.369	-1073.916	35.54692	30.68275	3.82533
59	1	-1045.886	-1071.751	25.86516	19.91466	4.382666
60	0	-1039.346	-1063.701	24.35582	19.27053	4.448668
61	1	-1045.063	-1069.826	24.7631	23.68014	4.409889
62	0	-1035.606	-1057.421	21.81539	20.79744	4.585168
63	1	-1045.477	-1070.395	24.91774	18.59654	4.401234
64	0	-1030.06	-1063.517	33.45643	24.52078	4.035315
65	1	-1025.142	-1073.215	48.07244	22.17853	3.384494
66	0	-1069.38	-1096.858	27.47845	29.11002	4.144645
67	1	-1025.656	-1065.28	39.62415	21.58307	3.752505
68	0	-1029.496	-1072.924	43.42769	25.88643	3.629775
69	1	-1027.611	-1068.032	40.42069	25.80838	3.74652
70	0	-1042.533	-1067.138	24.60591	22.19118	4.442414
71	1	-1036.29	-1068.359	32.06902	24.58303	4.091033
72	0	-1049.884	-1075.679	25.79464	21.37208	4.394021
73	1	-1059.543	-1076.991	17.44845	21.47178	4.78242
74	0	-1055.933	-1090.612	34.67866	24.08678	3.98897
75	1	-1035.983	-1075.164	39.18098	22.24945	3.786613
76	0	-1054.259	-1079.792	25.53347	24.21809	4.365652
77	1	-1034.75	-1069.79	35.03976	23.92985	3.974855
78	0	-1053.674	-1083.752	30.07804	20.82048	4.18818
79	1	-1027.963	-1062.311	34.34746	21.60367	3.997269
80	0	-1049.717	-1082.045	32.32783	22.26618	4.094675
81	1	-1043.004	-1089.401	46.39777	27.32673	3.511432
82	0	-1059.741	-1084.853	25.11219	23.15836	4.405355
83	1	-1028.147	-1074.546	46.39839	29.96328	3.483011
84	0	-1049.817	-1075.967	26.14934	19.02854	4.349113
85	1	-1055.165	-1075.958	20.79288	23.38425	4.585843
86	0	-1055.374	-1074.318	18.94466	21.48756	4.712446
87	1	-1056.22	-1077.871	21.65165	18.54196	4.575547
88	0	-1056.922	-1086.729	29.80786	23.71232	4.196439
89	1	-1035.209	-1065.423	30.21397	19.5395	4.153677
90	0	-1036.003	-1070.371	34.36847	21.58132	3.99599
91	1	-1035.333	-1059.598	24.26442	24.79338	4.402747
92	0	-1039.669	-1079.018	39.34933	20.4616	3.729612
93	1	-1028.25	-1074.31	46.05989	25.68493	3.527827
94	0	-1026.731	-1064.294	37.56281	21.97693	3.855284
95	1	-1026.673	-1058.011	31.33858	23.89696	4.129899
96	0	-1021.585	-1065.992	44.407	23.81271	3.582032
97	1	-1019.523	-1063.499	43.97583	28.06879	3.592189
98	0	-1024.56	-1052.131	27.57065	20.55198	4.306249
99	1	-1038.661	-1066.49	27.82853	26.34003	4.220015
100	0	-1040.644	-1071.324	30.67952	20.04575	4.144277
101	1	-1033.941	-1063.172	29.23112	25.02408	4.197738
