Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	-1042.619	-1075.138	32.51907	22.04213	4.085147
10	-1038.521	-1073.124	34.60314	27.50257	3.939181
20	-1039.876	-1065.018	25.14269	17.77088	4.354467
30	-1033.895	-1062.36	28.4648	21.44814	4.269302
40	-1035.399	-1074.191	38.79161	30.00796	3.735836
50	-1024.994	-1062.489	37.49565	23.63911	3.872152
60	-1028.514	-1061.947	33.43235	23.59798	4.044279
70	-1039.608	-1069.792	30.18404	21.22504	4.187493
80	-1034.489	-1065.318	30.82987	24.98995	4.134471
90	-1029.026	-1063.747	34.72012	26.11186	3.962393
100	-1026.66	-1064.231	37.57104	21.89413	3.853521
110	-1018.025	-1064.587	46.56293	22.82619	3.471237
120	-1031.388	-1074.482	43.09409	26.57265	3.638934
130	-1022.687	-1061.132	38.44532	28.56975	3.779336
140	-1037.216	-1075.555	38.33926	26.92334	3.812773
150	-1039.35	-1069.718	30.36859	22.19614	4.182728
160	-1036.411	-1062.452	26.04107	19.68211	4.369986
170	-1032.92	-1065.212	32.29196	22.0065	4.095274
180	-1048.136	-1077.72	29.58393	22.6787	4.216062
190	-1039.816	-1068.53	28.71422	21.62131	4.258047
200	-1035.461	-1062.779	27.31736	22.40598	4.318597
210	-1044.868	-1078.762	33.89469	19.94666	3.980572
220	-1041.867	-1075.964	34.09631	26.32892	3.982269
230	-1054.012	-1082.461	28.44901	20.4801	4.262583
240	-1044.811	-1077.571	32.75992	25.35902	4.051358
250	-1044.435	-1070.318	25.88364	24.58395	4.342622
260	-1023.655	-1064.275	40.61958	26.16849	3.735974
270	-1024.183	-1068.519	44.33651	21.80752	3.541753
280	-1036.614	-1072.528	35.91435	24.6545	3.934047
290	-1038.369	-1073.916	35.54692	30.68275	3.82533
300	-1039.346	-1063.701	24.35582	19.27053	4.448668
310	-1035.606	-1057.421	21.81539	20.79744	4.585168
320	-1030.06	-1063.517	33.45643	24.52078	4.035315
330	-1069.38	-1096.858	27.47845	29.11002	4.144645
340	-1029.496	-1072.924	43.42769	25.88643	3.629775
350	-1042.533	-1067.138	24.60591	22.19118	4.442414
360	-1049.884	-1075.679	25.79464	21.37208	4.394021
370	-1055.933	-1090.612	34.67866	24.08678	3.98897
380	-1054.259	-1079.792	25.53347	24.21809	4.365652
390	-1053.674	-1083.752	30.07804	20.82048	4.18818
400	-1049.717	-1082.045	32.32783	22.26618	4.094675
410	-1059.741	-1084.853	25.11219	23.15836	4.405355
420	-1049.817	-1075.967	26.14934	19.02854	4.349113
430	-1055.374	-1074.318	18.94466	21.48756	4.712446
440	-1056.922	-1086.729	29.80786	23.71232	4.196439
450	-1036.003	-1070.371	34.36847	21.58132	3.99599
460	-1039.669	-1079.018	39.34933	20.4616	3.729612
470	-1026.731	-1064.294	37.56281	21.97693	3.855284
480	-1021.585	-1065.992	44.407	23.81271	3.582032
490	-1024.56	-1052.131	27.57065	20.55198	4.306249
500	-1040.644	-1071.324	30.67952	20.04575	4.144277
510	-1056.64	-1075.876	19.23599	23.8042	4.639347
520	-1038.423	-1066.219	27.79579	21.15147	4.299743
530	-1037.04	-1072.993	35.95326	24.53332	3.933399
540	-1025.674	-1061.194	35.51971	18.78669	3.842854
550	-1029.183	-1065.711	36.52708	18.96007	3.799752
560	-1019.431	-1060.788	41.3569	26.15142	3.707929
570	-1019.703	-1057.852	38.14892	22.43175	3.835509
580	-1026.724	-1066.732	40.00773	24.37698	3.768146
590	-1035.885	-1067.534	31.64923	18.85335	4.052078
600	-1033.191	-1067.048	33.85756	25.30081	4.008945
610	-1055.898	-1075.566	19.66802	20.82423	4.688128
620	-1042.819	-1069.831	27.01173	20.22306	4.329794
630	-1064.952	-1076.518	11.56524	19.93775	5.100225
640	-1035.125	-1061.827	26.70212	20.35816	4.346666
650	-1015.466	-1065.758	50.29178	26.73809	3.368505
660	-1017.546	-1068.82	51.27479	24.18705	3.302107
670	-1019.578	-1061.847	42.2691	24.20466	3.67454
680	-1036.732	-1064.166	27.43337	24.63486	4.278472
690	-1058.947	-1081.697	22.74992	21.04053	4.539041
700	-1035.349	-1066.444	31.09488	27.11776	4.076886
710	-1037.28	-1068.027	30.74753	18.41389	4.078282
720	-1034.593	-1067.4	32.80672	26.59588	4.025571
730	-1041.354	-1076.734	35.38014	25.76992	3.942394
740	-1023.678	-1072.604	48.92555	31.49227	3.377245
750	-1040.022	-1074.75	34.72807	29.12231	3.89528
760	-1030.765	-1070.133	39.3677	27.5115	3.765797
770	-1027.363	-1061.641	34.27789	22.59424	4.008802
780	-1044.014	-1073.529	29.51504	21.76797	4.221347
790	-1035.964	-1073.779	37.8151	28.27532	3.807524
800	-1025.08	-1061.417	36.33723	18.70597	3.794268
810	-1051.618	-1077	25.38231	18.49892	4.372804
820	-1037.531	-1063.346	25.81485	22.2534	4.387312
830	-1035.663	-1066.887	31.22367	19.7489	4.108744
840	-1043.232	-1075.595	32.3633	22.21761	4.092933
850	-1042.565	-1064.787	22.22154	24.59794	4.49116
860	-1042.387	-1076.705	34.31768	24.3128	4.002138
870	-1026.618	-1063.944	37.32634	24.16	3.878872
880	-1022.084	-1066.557	44.47333	25.91002	3.589341
890	-1021.529	-1062.211	40.68171	29.58545	3.681667
900	-1058.162	-1074.502	16.33989	18.25121	4.858662
910	-1058.131	-1077.069	18.93829	25.39834	4.594887
920	-1047.159	-1078.616	31.45722	25.17657	4.106089
930	-1044.258	-1073.069	28.81172	16.54066	4.050684
940	-1031.519	-1066.179	34.66005	24.00316	3.990285
950	-1050.151	-1075.744	25.59302	21.74315	4.401684
960	-1026.71	-1067.293	40.58298	24.11616	3.743942
970	-1037.714	-1067.131	29.41689	23.71505	4.21289
980	-1037.379	-1071.742	34.36327	21.15751	3.989358
990	-1032.744	-1070.338	37.59381	27.07541	3.837946
1000	-1029.626	-1061.776	32.14992	21.73499	4.100062
1010	-1044.293	-1079.769	35.4761	22.50775	3.95521
1020	-1040.207	-1072.997	32.79	23.4229	4.072589
1030	-1043.768	-1070.595	26.82755	21.47359	4.345607
1040	-1031.77	-1064.47	32.69961	21.47359	4.072152
1050	-1029.605	-1064.522	34.91667	20.22388	3.938934
1060	-1026.897	-1064.364	37.46699	23.35784	3.872706
1070	-1027.187	-1057.893	30.70533	23.59881	4.159832
1080	-1046.518	-1076.945	30.42701	22.98729	4.177134
1090	-1048.702	-1078.616	29.91377	23.74502	4.191554
1100	-1021.513	-1058.797	37.28356	21.26986	3.854085
1110	-1044.643	-1076.566	31.92359	21.94007	4.111703
1120	-1042.676	-1075.942	33.26584	25.83837	4.023207
1130	-1065.245	-1090.449	25.20372	25.25543	4.352265
1140	-1035.295	-1079.166	43.87045	25.11074	3.612925
1150	-1031.771	-1067.045	35.27405	28.57212	3.890279
1160	-1030.276	-1060.185	29.9091	20.86993	4.196903
1170	-1028.258	-1065.988	37.72936	23.10212	3.860209
1180	-1022.082	-1066.078	43.99544	25.40771	3.608325
1190	-1031.662	-1074.654	42.99196	28.45699	3.621851
1200	-1044.977	-1078.44	33.46302	21.6007	4.038173
1210	-1038.351	-1073.694	35.34367	20.39214	3.923254
1220	-1038.5	-1061.436	22.93599	21.95184	4.521185
1230	-1029.263	-1070.127	40.86446	24.83854	3.733167
1240	-1044.694	-1078.319	33.62472	23.30947	4.037368
1250	-1027.366	-1058.696	31.3302	20.16658	4.114888
1260	-1018.083	-1061.386	43.30257	21.37123	3.574794
1270	-1046.927	-1077.073	30.14651	21.46963	4.191023
1280	-1050	-1075.784	25.78324	19.09233	4.370092
1290	-1030.798	-1060.107	29.30945	22.78088	4.227445
1300	-1036.706	-1062.21	25.5037	19.74816	4.398367
1310	-1032.508	-1065.847	33.33892	22.6869	4.050498
1320	-1018.454	-1062.208	43.75434	24.26835	3.613675
1330	-1038.707	-1073.25	34.5439	22.3949	3.996003
1340	-1057.204	-1083.021	25.8162	20.67687	4.392304
1350	-1036.43	-1069.61	33.18061	19.57814	4.003344
1360	-1035.254	-1066.222	30.96722	20.13882	4.132225
1370	-1063.063	-1076.823	13.76013	17.25742	4.984756
1380	-1042.735	-1071.866	29.13122	28.14809	4.118604
1390	-1057.221	-1077.518	20.29678	15.95025	4.520828
1400	-1034.808	-1080.396	45.5885	26.5559	3.545122
1410	-1026.081	-1072.67	46.58861	24.36442	3.498038
1420	-1008.676	-1054.595	45.91887	30.02196	3.498106
1430	-1027.342	-1061.712	34.3698	25.26244	3.989233
1440	-1025.796	-1063.915	38.11842	22.67555	3.839707
1450	-1032.687	-1068.206	35.51881	25.60341	3.939359
1460	-1029.332	-1067.495	38.16296	21.15841	3.809792
1470	-1042.027	-1077.103	35.07601	21.31215	3.958662
1480	-1042.124	-1078.703	36.57969	20.04338	3.849849
1490	-1055.806	-1082.37	26.5639	21.53694	4.357746
1500	-1027.04	-1065.113	38.07305	20.86724	3.805638
1510	-1046.629	-1086.162	39.53297	21.40687	3.752153
1520	-1045.787	-1081.019	35.23255	22.77052	3.9674
1530	-1053.876	-1080.962	27.0852	27.75513	4.20433
1540	-1042.977	-1063.847	20.87029	17.33616	4.576543
1550	-1043.434	-1068.365	24.93156	19.00993	4.412634
1560	-1049.194	-1070.136	20.942	18.85509	4.620029
1570	-1022.637	-1057.447	34.81031	24.92955	3.97589
1580	-1045.409	-1078.639	33.22985	26.13085	4.019098
1590	-1028.955	-1067.382	38.42719	21.26944	3.800306
1600	-1036.504	-1065.497	28.9931	21.63583	4.245176
1610	-1057	-1082.265	25.26522	18.07168	4.361972
1620	-1045.838	-1076.697	30.85986	23.82828	4.150754
1630	-1025.299	-1067.395	42.09596	28.82482	3.647384
1640	-1032.051	-1064.206	32.15498	21.28222	4.095358
1650	-1049.632	-1063.931	14.29892	19.37534	4.969733
1660	-1059.039	-1075.475	16.43561	17.50829	4.837611
1670	-1043.478	-1063.373	19.89412	18.2351	4.663522
1680	-1026.118	-1057.971	31.85277	22.47438	4.116197
1690	-1019.384	-1052.712	33.32814	23.28926	4.050167
1700	-1032.081	-1062.36	30.27805	24.73764	4.161197
1710	-1050.683	-1072.806	22.12311	22.35906	4.551296
1720	-1043.157	-1078.508	35.35106	28.08729	3.899037
1730	-1023.212	-1064.641	41.42817	25.59636	3.708588
1740	-1022.868	-1061.371	38.50312	24.77512	3.828537
1750	-1019.511	-1057.838	38.32668	24.23615	3.837376
1760	-1038.277	-1062.223	23.94531	23.33586	4.452067
1770	-1007.897	-1057.962	50.0653	29.36912	3.366515
1780	-1034.643	-1073.341	38.6983	23.88716	3.821907
1790	-1041.795	-1076.64	34.84505	26.50769	3.95058
1800	-1039.686	-1075.495	35.80877	24.05842	3.942185
1810	-1047.484	-1072.926	25.44193	21.12641	4.411055
1820	-1048.274	-1071.006	22.7322	23.61378	4.497321
1830	-1041.82	-1064.275	22.45538	19.7071	4.552385
1840	-1063.401	-1078.699	15.29733	21.38947	4.884745
1850	-1057.793	-1075.578	17.78465	22.44379	4.743009
1860	-1046.855	-1068.939	22.08349	20.4323	4.573471
1870	-1040.321	-1074.741	34.41978	24.98124	3.990925
1880	-1058.023	-1091.241	33.21743	24.36908	4.046786
1890	-1061.74	-1085.493	23.7531	24.48103	4.432125
1900	-1039.396	-1078.958	39.56233	24.19065	3.786356
1910	-1022.592	-1057.559	34.96703	26.30433	3.949631
1920	-1046.067	-1068.361	22.29392	20.83111	4.561995
1930	-1034.729	-1069.954	35.22477	24.84297	3.960176
1940	-1047.603	-1072.173	24.56964	23.77248	4.416
1950	-1057.852	-1075.291	17.4393	18.0408	4.794375
1960	-1031.935	-1070.592	38.6575	26.83422	3.802255
1970	-1025.948	-1056.534	30.586	24.55089	4.151887
1980	-1033.447	-1067.19	33.74258	22.60037	4.03251
1990	-1027.81	-1068.4	40.58927	23.6997	3.741684
2000	-1043.506	-1080.36	36.8536	22.92144	3.897194
2010	-1052.384	-1082.574	30.18974	22.88533	4.188161
2020	-1051.467	-1077.218	25.75176	20.77197	4.395809
2030	-1025.882	-1062.991	37.10962	22.13786	3.878243
2040	-1040.593	-1076.012	35.41912	22.43718	3.957243
2050	-1040.357	-1073.97	33.61353	21.13783	4.024457
2060	-1028.826	-1070.648	41.82172	30.26457	3.629635
2070	-1040.541	-1071.85	31.30981	20.77282	4.128249
2080	-1055.646	-1079.765	24.1198	23.01233	4.45104
2090	-1025.154	-1056.291	31.13679	26.24029	4.096716
2100	-1033.044	-1071.751	38.70756	23.84827	3.82145
2110	-1065.567	-1085.66	20.09331	20.26352	4.671739
2120	-1024.717	-1058.904	34.18733	22.42045	4.012058
2130	-1044.515	-1070.342	25.8262	26.04328	4.305064
2140	-1032.987	-1064.286	31.29978	24.9449	4.116445
2150	-1017.242	-1059.007	41.76509	29.65086	3.643791
2160	-1032.663	-1070.619	37.95578	26.36934	3.835139
2170	-1012.776	-1059.828	47.05195	25.90319	3.489804
2180	-1034.222	-1068.244	34.02187	21.41505	4.009721
2190	-1046.327	-1081.819	35.49126	25.81651	3.937401
2200	-1049.113	-1077.169	28.05647	24.38742	4.258209
2210	-1042.049	-1069.844	27.795	21.03158	4.299214
2220	-1033.092	-1066.344	33.252	19.56967	3.99937
2230	-1038.989	-1071.911	32.92184	25.39347	4.044399
2240	-1031.084	-1064.315	33.23119	19.84194	4.010342
2250	-1021.441	-1062.31	40.86862	27.4892	3.711553
2260	-1028.35	-1058.653	30.30292	23.54339	4.1775
2270	-1024.066	-1073.707	49.64103	29.40354	3.380632
2280	-1030.736	-1071.774	41.03882	23.10124	3.716945
2290	-1059.275	-1084.111	24.83658	21.26577	4.439293
2300	-1039.673	-1076.567	36.89313	21.59008	3.879175
2310	-1026.406	-1070.568	44.16131	22.18421	3.560998
2320	-1046.935	-1073.269	26.33355	21.85004	4.367051
2330	-1032.331	-1069.457	37.12559	23.46841	3.887585
2340	-1039.682	-1070.309	30.62783	26.44904	4.111107
2350	-1038.18	-1065.929	27.74961	21.32599	4.302459
2360	-1032.762	-1069.105	36.34241	24.08667	3.919898
2370	-1035.734	-1068.797	33.06261	23.17713	4.061987
2380	-1063.035	-1084.361	21.3257	17.4939	4.557665
2390	-1019.931	-1061.877	41.94613	24.61889	3.689325
2400	-1027.439	-1067.685	40.24675	28.04058	3.725515
2410	-1032.083	-1071.243	39.15989	24.04836	3.802882
2420	-1048.744	-1079.956	31.21219	20.13464	4.119958
2430	-1024.088	-1061.167	37.07937	24.66356	3.886737
2440	-1036.526	-1071.673	35.14709	22.76956	3.971149
2450	-1036.741	-1068.272	31.53113	22.49777	4.130491
2460	-1039.918	-1074.248	34.32999	26.38552	3.972336
2470	-1015.645	-1057.18	41.53562	22.17365	3.679121
2480	-1041.856	-1077.839	35.98268	24.21045	3.934229
2490	-1049.48	-1085.137	35.65748	26.77112	3.91522
2500	-1039.159	-1075.11	35.95056	23.58722	3.937578
2510	-1061.774	-1074.099	12.32422	14.90001	4.945233
2520	-1029.701	-1067.733	38.03148	24.53621	3.848678
2530	-1035.67	-1067.455	31.78489	22.94354	4.118243
2540	-1033.479	-1065.891	32.41273	22.59396	4.091352
2550	-1027.566	-1057.692	30.12644	25.33754	4.155654
2560	-1035.996	-1059.409	23.41301	20.26553	4.507921
2570	-1049.478	-1078.539	29.06069	20.84576	4.237308
2580	-1036.903	-1063.933	27.03093	18.82942	4.296209
2590	-1038.573	-1071.485	32.91117	23.72652	4.065461
2600	-1054.229	-1081.957	27.72762	21.96882	4.302839
