Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	0	-1033.511	-1063.919	30.40794	4556.438	28.35736	0.981232	0.995128	1.00475	1.01889	3.661053
1	1	-974.0024	-1032.934	58.93124	20772.7	36.75604	0.991194	0.997734	1.00224	1.00883	2.687398
2	0	-1031.677	-1063.429	31.7528	10074.94	22.6802	0.987365	0.996737	1.00321	1.01269	3.612805
3	1	-968.2088	-1034.586	66.37735	62934.38	35.42258	0.994938	0.998701	1.00129	1.00507	2.484693
4	0	-1015.767	-1053.703	37.93582	43130.32	25.78407	0.993886	0.99843	1.00156	1.00613	3.396555
5	1	-956.9837	-1022.769	65.78497	71802.4	34.25947	0.99526	0.998784	1.00121	1.00475	2.498602
6	0	-1020.819	-1050.544	29.72497	28504.48	27.82207	0.992481	0.998067	1.00191	1.00754	3.693445
7	1	-955.4517	-1013.14	57.6878	40401.43	42.09408	0.993683	0.998378	1.00161	1.00633	2.663263
8	0	-1019.115	-1054.38	35.26509	43036.42	28.38046	0.993879	0.998428	1.00156	1.00613	3.48955
9	1	-984.7047	-1032.978	48.27319	29065.77	31.85567	0.992554	0.998086	1.00189	1.00747	3.030443
10	0	-1020.759	-1051.134	30.37421	55483.94	25.04768	0.994609	0.998617	1.00137	1.0054	3.691969
11	1	-982.6566	-1036.114	53.45732	57971.59	35.17013	0.994726	0.998647	1.00134	1.00528	2.851596
12	0	-1005.587	-1045.822	40.23555	35116.18	26.22326	0.993225	0.998259	1.00172	1.00679	3.311097
13	1	-981.5502	-1030.154	48.6037	62176.34	27.61502	0.994907	0.998693	1.0013	1.0051	3.01276
14	0	-1005.828	-1042.639	36.81133	8387.224	26.93114	0.986155	0.996421	1.00351	1.01391	3.441894
15	1	-992.0908	-1037.243	45.15216	28995.34	28.1791	0.992545	0.998084	1.0019	1.00747	3.140539
16	0	-1012.015	-1041.707	29.69198	11980.46	24.95254	0.988411	0.99701	1.00294	1.01164	3.719356
17	1	-994.1433	-1031.413	37.26935	76876.64	22.78904	0.995419	0.998825	1.00117	1.00459	3.372902
18	0	-993.1685	-1027.863	34.69408	11044.46	23.65592	0.987931	0.996885	1.00306	1.01212	3.50392
19	1	-981.9154	-1031.293	49.37763	21348.36	29.02948	0.991314	0.997765	1.00221	1.00871	2.996469
20	0	-996.2847	-1033.357	37.07262	14186.78	30.79731	0.989348	0.997254	1.00271	1.01069	3.398725
21	1	-984.393	-1027.419	43.02648	11282.66	30.80503	0.988059	0.996918	1.00303	1.01199	3.205337
22	0	-1005.85	-1032.221	26.37056	53905.59	27.34991	0.994531	0.998596	1.00139	1.00548	3.822603
23	1	-992.3254	-1035.003	42.6774	5588.734	24.91858	0.983049	0.995606	1.00429	1.01705	3.198281
24	0	-999.8513	-1035.14	35.2891	20651.62	27.2247	0.991169	0.997727	1.00225	1.00886	3.497165
25	1	-993.4956	-1035.453	41.9572	32081.65	27.14824	0.992912	0.998178	1.0018	1.00711	3.251911
26	0	-990.7191	-1032.347	41.62793	48114.71	27.43319	0.994211	0.998514	1.00147	1.0058	3.264978
27	1	-990.7791	-1034.23	43.45093	88800.25	29.37363	0.995738	0.998907	1.00109	1.00427	3.199707
28	0	-978.643	-1029.495	50.85189	37018.06	37.79994	0.993401	0.998305	1.00168	1.00661	2.893263
29	1	-1000.734	-1038.323	37.58849	93962.1	28.18936	0.995856	0.998938	1.00106	1.00415	3.408892
30	0	-969.7791	-1035.245	65.46597	15872.53	31.97427	0.989929	0.997405	1.00256	1.01011	2.492027
31	1	-998.0974	-1039.972	41.87485	59293.77	28.14996	0.994785	0.998662	1.00133	1.00522	3.256855
