Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-974.0024	-1032.934	58.93124	20772.7	36.75604	0.991194	0.997734	1.00224	1.00883	2.687398
10	-968.2088	-1034.586	66.37735	62934.38	35.42258	0.994938	0.998701	1.00129	1.00507	2.484693
20	-956.9837	-1022.769	65.78497	71802.4	34.25947	0.99526	0.998784	1.00121	1.00475	2.498602
30	-955.4517	-1013.14	57.6878	40401.43	42.09408	0.993683	0.998378	1.00161	1.00633	2.663263
40	-984.7047	-1032.978	48.27319	29065.77	31.85567	0.992554	0.998086	1.00189	1.00747	3.030443
50	-982.6566	-1036.114	53.45732	57971.59	35.17013	0.994726	0.998647	1.00134	1.00528	2.851596
60	-981.5502	-1030.154	48.6037	62176.34	27.61502	0.994907	0.998693	1.0013	1.0051	3.01276
70	-992.0908	-1037.243	45.15216	28995.34	28.1791	0.992545	0.998084	1.0019	1.00747	3.140539
80	-994.1433	-1031.413	37.26935	76876.64	22.78904	0.995419	0.998825	1.00117	1.00459	3.372902
90	-981.9154	-1031.293	49.37763	21348.36	29.02948	0.991314	0.997765	1.00221	1.00871	2.996469
100	-984.393	-1027.419	43.02648	11282.66	30.80503	0.988059	0.996918	1.00303	1.01199	3.205337
110	-992.3254	-1035.003	42.6774	5588.734	24.91858	0.983049	0.995606	1.00429	1.01705	3.198281
120	-993.4956	-1035.453	41.9572	32081.65	27.14824	0.992912	0.998178	1.0018	1.00711	3.251911
130	-990.7791	-1034.23	43.45093	88800.25	29.37363	0.995738	0.998907	1.00109	1.00427	3.199707
140	-1000.734	-1038.323	37.58849	93962.1	28.18936	0.995856	0.998938	1.00106	1.00415	3.408892
150	-998.0974	-1039.972	41.87485	59293.77	28.14996	0.994785	0.998662	1.00133	1.00522	3.256855
160	-1000.922	-1038.236	37.31359	52804.59	22.14789	0.994474	0.998582	1.00141	1.00554	3.34935
170	-1001.398	-1037.34	35.94188	84566.73	25.87328	0.995632	0.99888	1.00111	1.00437	3.474168
180	-1012.518	-1031.198	18.67985	95205	19.56864	0.995883	0.998945	1.00105	1.00412	4.155663
190	-993.5979	-1027.973	34.37529	73391.55	27.47385	0.995312	0.998798	1.00119	1.0047	3.529062
200	-986.1051	-1020.265	34.15959	29944.46	27.79359	0.992664	0.998114	1.00187	1.00736	3.534305
210	-993.0685	-1036.541	43.47213	99482.28	30.64216	0.995973	0.998968	1.00103	1.00403	3.192112
220	-975.6466	-1021.404	45.75779	51241.68	31.48288	0.99439	0.99856	1.00143	1.00562	3.112324
230	-985.5222	-1032.309	46.78644	37015.72	25.57576	0.993401	0.998305	1.00168	1.00661	3.049027
240	-998.8467	-1037.383	38.53642	54196.4	34.23268	0.994545	0.9986	1.00139	1.00547	3.294477
250	-1004.682	-1039.807	35.12486	59277.11	23.22961	0.994784	0.998662	1.00133	1.00523	3.477412
260	-991.1739	-1028.229	37.05484	75739.51	24.36864	0.995385	0.998817	1.00118	1.00462	3.416869
270	-989.6956	-1029.58	39.88408	97912.96	23.29471	0.995941	0.99896	1.00103	1.00407	3.274484
